item_type,task_item,task_type,task_scope,Ref_type,Hyperlink,embed_code,task_name,task_description_gen,task_description_original,task_description_ideas,task_description_first_step,time_est,Area
Alteration,Clothing,Try this,Medium,Image,https://www.pinterest.com/pin/555139091586766625/,<iframe src='https://assets.pinterest.com/ext/embed.html?id=555139091586766625' height='520' width='236' frameborder='0' scrolling='no' ></iframe>,Combining textures,Cover a garment in stitches and some specific area in same color beards,N/A,- Make strings to go around a body part,Draw and bead one strand.,2-3 hours,Texture
Alteration,Clothing,Try this,Medium,Image,https://www.pinterest.com/pin/1113233601661808274/,<iframe src='https://assets.pinterest.com/ext/embed.html?id=1113233601661808274' height='395' width='236' frameborder='0' scrolling='no' ></iframe>,Running ribbon,Whimsify a shirt (or any clothing item) by sewing on a ribbon running around in a random pattern.,N/A,- Try different thickness,Attach 1 strand in an interesting pattern.,2-3 hours,Texture
New thing,Clothing,Try this,Big,Image,https://www.pinterest.com/pin/709176272613517933/,<iframe src='https://assets.pinterest.com/ext/embed.html?id=709176272613517933' height='454' width='236' frameborder='0' scrolling='no' ></iframe>,Create fabric as a web of beads,Miley Cyrus dress' texture for the cover of Something beautiful.,Thierry Mugler Couture from Fall'97,- Make a top instead of a dress,Create a square 3x3 to figure out how to bead it.,10+ hours,Texture
New thing,Clothing,Try this,Medium,Image,https://www.pinterest.com/pin/363454632450356221/,<iframe src='https://assets.pinterest.com/ext/embed.html?id=363454632450356221' height='454' width='236' frameborder='0' scrolling='no' ></iframe>,Rope texture,Create interesting texture by placing a rope in a cool pattern.,Asymmetric dress by Salvatore Ferragamo.,- Make out of thick beads- Make out of a lot of strings,Cut and sew on 1 rope.,5+ hours,Texture
New thing,Clothing,Try this,Medium,Image,https://www.pinterest.com/pin/367324913368922803/,<iframe src='https://assets.pinterest.com/ext/embed.html?id=367324913368922803' height='390' width='236' frameborder='0' scrolling='no' ></iframe>,See through fabric,Create interesting texture by sewing together squares of any fabric and layering them through each other.,Isa Boulder.,- Try different shapes,Cut; process and connect 5 small squares.,5-10 hours,Texture
New thing,Clothing,Try this,Medium,Video,https://www.pinterest.com/pin/628533691778276543/,<iframe src='https://assets.pinterest.com/ext/embed.html?id=628533691778276543' height='520' width='236' frameborder='0' scrolling='no' ></iframe>,Fabric out of mesh squares,Creating interesting texture by sewing together see-through fabric squares.,N/A,- Try different shapes,Cut; process and connect 5 small squares.,3-5 hours,Texture
Alteration,Clothing,Try this,Small,Video,https://www.pinterest.com/pin/706994841545417485/,<iframe src='https://assets.pinterest.com/ext/embed.html?id=706994841545417485' height='520' width='236' frameborder='0' scrolling='no' ></iframe>,Yarn texture,Making any fabric/garment interesting,N/A,- Make out of thick beads- Make out of a lot of strings-The baseline layer is a mesh jumpsuit,Cut and sew on 1 string.,2-3 hours,Texture
Alteration,Clothing,Try this,Small,Video,https://www.pinterest.com/pin/1061512574679279713/,<iframe src='https://assets.pinterest.com/ext/embed.html?id=1061512574679279713' height='519' width='236' frameborder='0' scrolling='no' ></iframe>,Glue letters,Add some texture to a boring [something] to make it more striking.,N/A,- Use something with more precision and control,Glue and embroider one letter.,2-3 hours,Element
Alteration,Clothing,Try this,Small,Video,https://www.youtube.com/embed/i6MDaOLD9uM,<iframe src='https://www.youtube.com/embed/i6MDaOLD9uM?si=lO9Zjy4_Su8_U8lR' title='YouTube video player' frameborder='0' allow='accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share' referrerpolicy='strict-origin-when-cross-origin' allowfullscreen></iframe>,Make a boring shirt sparkle,Sewing on beards/stuff on a shirt to whimsify the texture,N/A,- Try different objects likes keys,Attach 5 in a row to test how it looks.,Under 1 hour,Texture
Alteration,Clothing,Try this,Small,Video,https://www.youtube.com/shorts/lbX3dYNf_Kk,<iframe src='https://www.youtube.com/embed/lbX3dYNf_Kk?si=LS6YrNKWwlTrXkdb' title='YouTube video player' frameborder='0' allow='accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share' referrerpolicy='strict-origin-when-cross-origin' allowfullscreen></iframe>,Layered letters,Whimsify a boring sweather by adding letters with interesting backing fabric.,N/A,- Try out a simple drawing,Cut and sew one letter.,1-2 hours,Element
Alteration,Clothing,Try this,Small,Video,https://www.youtube.com/shorts/OglttGreRVU,<iframe src='https://www.youtube.com/embed/OglttGreRVU?si=fmFaYzDuAPV0PB4j' title='YouTube video player' frameborder='0' allow='accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share' referrerpolicy='strict-origin-when-cross-origin' allowfullscreen></iframe>,Cute button decoration,Add a nice touch to a shirt by embroidering on top of button holes.,N/A,,Make one button.,Under 1 hour,Element
